"Key","year","author","title_article","journal","doi","url","index","type_article","gen_sample","title","abstract","intro","method","results","discussion","heading","difficulty","notes"
"PAV4NKKS",2025,"Casas, José M.; Dueñas, Jorge-Manuel; Ferrando, Pere J.; Castarlenas, Elena; Vigil-Colet, Andreu; Hernández-Navarro, Juan C.; Morales-Vives, Fabia","Measuring the callous-unemotional traits in Spanish juvenile offenders: properties and functioning of the INCA questionnaire in this population","Psychiatry, Psychology and Law","10.1080/13218719.2025.2497785","https://www.tandfonline.com/doi/full/10.1080/13218719.2025.2497785",67,"Generalizability",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WD8AJFIA",2023,"Lassen, David Dreyer; Mahler, Daniel","Free to choose or free to lose? Understanding individual attitudes toward paternalism","Behavioural Public Policy","10.1017/bpp.2022.39","https://www.cambridge.org/core/product/identifier/S2398063X22000392/type/journal_article",66,"Generalizability",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FV4P37GJ",2020,"Cheon, Bobby; Esposito, Gianluca","Brief Exposure to Infants Activates Social and Intergroup Vigilance","Behavioral Sciences","10.3390/bs10040072","https://www.mdpi.com/2076-328X/10/4/72",64,"Generalizability",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D53K4V8R",2021,"Jeon, Minjeong; De Boeck, Paul; Luo, Jevan; Li, Xiangrui; Lu, Zhong-Lin","Modeling Within-Item Dependencies in Parallel Data on Test Responses and Brain Activation","Psychometrika","10.1007/s11336-020-09741-2","https://www.cambridge.org/core/product/identifier/S0033312300006517/type/journal_article",90,"Generalizability",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YU9YWRC7",2023,"Herchenroeder, Luke; Williams, Eleanor; Wedell, Emma; Sorid, Samantha D.; Bakou, Alexandra Elissavet; Bravo, Adrian J.; Hogarth, Lee","Interoceptive attention or merely distraction? An examination of the effects of brief breath counting training on stress-induced alcohol-seeking behavior.","Experimental and Clinical Psychopharmacology","10.1037/pha0000557","https://doi.apa.org/doi/10.1037/pha0000557",92,"Generalizability",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QGQEXLWM",2022,"Alamos, Pilar; Corbin, Catherine M.; Klotz, Madeline; Lowenstein, Amy E.; Downer, Jason T.; Brown, Joshua L.","Bidirectional associations among teachers' burnout and classroom relational climate across an academic year","Journal of School Psychology","10.1016/j.jsp.2022.09.001","https://linkinghub.elsevier.com/retrieve/pii/S0022440522000759",3,"Generalizability",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TT8SZU4P",2021,"Jia, Lu-xia; Qin, Xiao-jing; Cui, Ji-fang; Shi, Hai-song; Ye, Jun-yan; Yang, Tian-xiao; Wang, Ya; Chan, Raymond C. K.","Dissociation of Proactive and Reactive Cognitive Control in Individuals with Schizotypy: An Event-Related Potential Study","Journal of the International Neuropsychological Society","10.1017/S135561772000137X","https://www.cambridge.org/core/product/identifier/S135561772000137X/type/journal_article",47,"Generalizability",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CYXBKIEP",2024,"Zucchelli, Micaela Maria; Gambetti, Elisa; Giusberti, Fiorella; Nori, Raffaella","Use of default option nudge and individual differences in everyday life decisions","Cognitive Processing","10.1007/s10339-023-01161-1","https://link.springer.com/10.1007/s10339-023-01161-1",97,"Generalizability",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D6GKZW9W",2019,"Zhang, Yue; Xin, Ziqiang","Rule Comes First: The Influences of Market Attributes on Interpersonal Trust in the Marketization Process","Journal of Social Issues","10.1111/josi.12306","https://spssi.onlinelibrary.wiley.com/doi/10.1111/josi.12306",58,"Generalizability",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QDEP2ISH",2024,"Klackl, Johannes; Lüders, Adrian; Jonas, Eva","Q: What is the recipe for defense? A: Threat, anxiety, and approach motivation.","Motivation Science","10.1037/mot0000314","https://doi.apa.org/doi/10.1037/mot0000314",6,"Generalizability",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95IX9SZB",2025,"Mancini, Vincent O.; Ditzer, Julia; Brett, Jack D.; Gross, James J.; Preece, David A.","Internalizing Symptoms in Men: The Role of Masculine Norms, Alexithymia, and Emotion Regulation","Sex Roles","10.1007/s11199-025-01615-0","https://link.springer.com/10.1007/s11199-025-01615-0",57,"Generalizability",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JGWURASQ",2022,"Hill, Christopher R.; Smith, Alan L.; Myers, Nicholas D.; Feltz, Deborah L.","Tripartite efficacy and behavior of clients working with a personal trainer","Journal of Applied Sport Psychology","10.1080/10413200.2021.1894507","https://www.tandfonline.com/doi/full/10.1080/10413200.2021.1894507",88,"Generalizability",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"II5AB8NI",2023,"Thompson, Phillip S.; Bolino, Mark C.; Norris, Kalan R.; Kuo, Shu-Tsen","Unconstructive curiosity killed the cat: The importance of follower political skill and constructive curiosity to avoid leader perceptions of insubordination and unlikability","Organizational Behavior and Human Decision Processes","10.1016/j.obhdp.2023.104275","https://linkinghub.elsevier.com/retrieve/pii/S0749597823000511",41,"Generalizability",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9T37NYDZ",2024,"Hasan-Aslih, Siwar; Pliskin, Ruthie; Shuman, Eric; Van Zomeren, Martijn; Saguy, Tamar; Halperin, Eran","Together we will rise? Perceptions of instrumentality and normalization as motivations for joint collective action among the disadvantaged","Group Processes & Intergroup Relations","10.1177/13684302231153830","https://journals.sagepub.com/doi/10.1177/13684302231153830",51,"Generalizability",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
