"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"2LE8Z3W6","journalArticle","2024","Vu, Linh; Molho, Catherine; Soraperra, Ivan; Fiedler, Susann; Shalvi, Shaul","Giving (in) to help an identified person","Journal of Experimental Social Psychology","","0022-1031","10.1016/j.jesp.2023.104557","","People give more to a person in need when this person's identity is known. Such altruistic behaviors may arise from a genuine concern for the person, leading people to give. Alternatively, altruistic behavior may also arise from one's attempt to reduce the guilt of not giving, leading people to give in. Is the increased altruism towards an identified (vs. unidentified) charity recipient driven by a genuine concern for the person or by guilt? The current registered report addressed this question in two experiments (N = 3671), in which participants made allocation decisions in transparent vs. ambiguous settings with a predetermined (versus undetermined; Study 1) or an identified (versus unidentified; Study 2) child in need as the recipient. Consistent with our pre-registered hypothesis, results revealed that participants gave significantly less to undetermined/unidentified children in an ambiguous, compared with a transparent setting. However, in contrast to our predictions, predetermined/ identified children did not receive more than undetermined/unidentified children in transparent settings in which they know how their choice impacts the children. Accordingly, the predicted interaction between identification and ambiguity was not significant. Exploratory analyses revealed that participants who willingly resolve the ambiguity surrounding the impact of their choice gave more compared to those who were given transparent information by default. The results suggest that some people give in when making their donation decisions, but the tendency to give in is independent of whether the recipient is identified or not.","2024-01","2026-03-25 20:24:07","2026-08-04 18:23:22","","","","","110","","","","51","","","","ACADEMIC PRESS INC ELSEVIER SCIENCE","","English","","","","","","","Place: 525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA Type: Article","","C:\Users\moin\Zotero\storage\QLU2SWWK\Vu et al. - 2024 - Giving (in) to help an identified person.pdf","","Registered Report","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W4AFBKUN","journalArticle","2023","Britton, Emily M.; Laurin, Kristin; Grossmann, Igor; Dorfman, Anna; Oakes, Harrison; Scholer, Abigail A.","The Dynamics of Self-Control Conflicts in Daily Life in Predicting Self-Control Success and Perceived Self-Regulatory Effectiveness","Collabra: Psychology","","2474-7394","10.1525/collabra.88158","https://online.ucpress.edu/collabra/article/9/1/88158/197484/The-Dynamics-of-Self-Control-Conflicts-in-Daily","People often face conflicts where they must choose between their long-term goals and tempting alternatives. Using an open-ended daily diary design, we investigated the characteristics of self-control conflicts in daily life, both replicating and extending past work. Specifically, we examined the factors that affected self-control conflict success, as well as how the nature and resolution of the conflict affected general perceptions of self-regulatory effectiveness. Self-control conflicts varied considerably within-persons including the domain of the conflict, the use of strategies, and whether they were successfully resolved. There was also variability in people’s subjective perceptions of how pulled they felt towards the temptation and the opposing goal, as well as how difficult and important the overall decision was. Furthermore, these factors predicted whether a conflict was resolved successfully (i.e., in favor of the goal), with pull towards the temptation emerging as the strongest predictor. People were also more successful in resolving self-control conflicts when they reported using any type of self-regulatory strategy; no specific strategy emerged as most effective. On days when participants successfully resolved conflicts, they also felt more confident in their general ability to self-regulate. Overall, our findings largely conceptually replicate past work using an open-ended diary format, and suggest that factors influencing self-control conflict resolution are also linked to general feelings of self-regulatory effectiveness.","2023-10-16","2026-08-04 15:44:17","2026-08-04 15:47:15","2026-08-04 15:44:17","88158","","1","9","","","","17","","","","","","en","http://creativecommons.org/licenses/by/4.0","","","","DOI.org (Crossref)","","","","C:\Users\moin\Zotero\storage\KGRKJBMK\Britton et al. - 2023 - The Dynamics of Self-Control Conflicts in Daily Life in Predicting Self-Control Success and Perceive.pdf","","Preregistered Match","","Farb, Norman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4VHVCQHC","journalArticle","2023","Chen, Yunyun; He, Hong; Zou, Xintong; Zhang, Xuemin","The pursuit of the end: The effects of action-goal choices on temporal binding","Consciousness and Cognition","","10538100","10.1016/j.concog.2022.103457","https://linkinghub.elsevier.com/retrieve/pii/S1053810022001891","The effect of action choice (whether one can choose their actions freely) on temporal binding (TB), the temporal contraction between a voluntary action and its effect, is controversial. The present study tried to distinguish action-goal choice (whether one could pursue the action-effect freely) from action choice. Experiments 1 and 2 focused on the effect of action-goal choice on TB while the congruency between actions and outcomes was manipulated (i.e., 50% in Experiment 1 and 80% in Experiment 2). Experiment 3 investigated the effect of action choice on TB when the outcome congruency was 80%. Results showed that free and instructed action-goals led to comparable magnitudes of TB while free actions led to a larger TB than instructed actions. Furthermore, the effect of outcome congruency on TB varied by action-goal choices (Experiment 2) but not action choices (Experiment 3). These results demonstrate the potential differences between action choice and action-goal choice.","2023-02","2026-08-04 15:44:54","2026-08-04 15:46:12","2026-08-04 15:44:54","103457","","","108","","Consciousness and Cognition","The pursuit of the end","18","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\moin\Zotero\storage\9IA2HZH9\Chen et al. - 2023 - The pursuit of the end The effects of action-goal choices on temporal binding.pdf","","Traditional Match","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EMMKF6LX","journalArticle","2010","Rodgers, Wendy M.; Hall, Craig R.; Duncan, Lindsay R.; Pearson, Erin; Milne, Marcia I.","Becoming a regular exerciser: Examining change in behavioural regulations among exercise initiates","Psychology of Sport and Exercise","","14690292","10.1016/j.psychsport.2010.04.007","https://linkinghub.elsevier.com/retrieve/pii/S1469029210000373","Objective: A large body of research evidence is accumulating describing aspects of motivation that are associated with persistence with exercise behavior. Relatively little is known, however, about the process of becoming a regular exerciser. That is, how long does it take for the motivational proﬁle of an initiate exerciser to become similar to the motivational proﬁles that have been associated with enduring exercise behavior? Methods: This paper reports data of program completers from 4 longitudinal studies (Ns ¼ 60, 134, 38, and 84 respectively) describing change in four forms of motivational regulation proposed by selfdetermination theory among initiate exercisers and compares those initiates to two samples of longterm regular exercisers (Ns ¼ 202 and 1054). Results: The results indicate that patterns of self-determined regulation change over time in ways consistent with self-determination theory. Speciﬁcally, there are increases in identiﬁed and intrinsic motivation among initiate exercisers that appear to take place within 8 weeks. Conclusions: Final values of identiﬁed and intrinsic motivation remain signiﬁcantly lower than values observed for regular exercisers, even after up to 6 months of exercise. Ó 2010 Elsevier Ltd. All rights reserved.","2010-09","2026-08-04 15:45:15","2026-08-04 15:45:37","2026-08-04 15:45:15","378-386","","5","11","","Psychology of Sport and Exercise","Becoming a regular exerciser","88","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","C:\Users\moin\Zotero\storage\7LM8LSLH\Rodgers et al. - 2010 - Becoming a regular exerciser Examining change in behavioural regulations among exercise initiates.pdf","","Traditional 2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GIIHRA9W","journalArticle","2024","Tønnesen, Mathilde H.; Elbæk, Christian T.; Pfattheicher, Stefan; Mitkidis, Panagiotis","Communication increases collaborative corruption","Journal of Experimental Social Psychology","","00221031","10.1016/j.jesp.2024.104603","https://linkinghub.elsevier.com/retrieve/pii/S0022103124000155","Despite being a pivotal aspect of human cooperation, only a few studies within the field of collaborative dishonesty have included communication between participants, and none have yet experimentally compared this to non-communicative contexts. As a result, the impact of communication on unethical collaborations remains unclear. To address this gap, we conducted two well-powered studies (Ntotal = 1187), closely replicating and extending seminal research by Weisel and Shalvi (2015), introducing communication as a manipulated variable within a dyadic cheating task. Across both studies, we found evidence that communication increases the magnitude of cheating—even when coordination on the task is not allowed. Importantly, the effect of communication was linked to a stronger experienced collaboration among the communicating dyads, highlighting that communication is not only key to everyday ethically sound collaborations, but also to corrupt collaborations.","2024-05","2026-08-04 16:03:10","2026-08-04 16:04:01","2026-08-04 16:03:10","104603","","","112","","Journal of Experimental Social Psychology","","51","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\moin\Zotero\storage\2FF8LGRY\Tønnesen et al. - 2024 - Communication increases collaborative corruption.pdf","","Preregistered Match","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LR22LGU7","journalArticle","2024","Allidina, Suraiya; Cunningham, William A.","If not me then we: Goal tradeoffs in decision-making for the self, ingroup, and outgroup","Journal of Experimental Social Psychology","","00221031","10.1016/j.jesp.2024.104625","https://linkinghub.elsevier.com/retrieve/pii/S0022103124000374","Navigating the social world requires individuals to balance multiple goals, including the drives to improve one’s own outcomes, aid ingroup members, and help or hurt outgroup members. While self-interest and intergroup bias are both well-established motivational phenomena, less is known about how these goals may interact. Here we examine the nature of goal tradeoffs in intergroup decision-making using a novel task in which participants simultaneously make monetary decisions for themselves, an arbitrary ingroup, and the corresponding outgroup. Across four behavioural studies and one eye-tracking study (total N = 704), we find that goals in intergroup contexts are pursued sequentially rather than concurrently, with non-linear upweighting of group-related goals when self-related goals cannot be pursued. Further, we find evidence for stronger self-ingroup than self-outgroup tradeoffs, which manifest in both altered attention to information and altered use of the attended information in decision-making. The results shed light on the cognitive structuring of interrelated goals in intergroup decisionmaking, furthering our understanding of when and how both intergroup biases and prosocial behaviour may emerge.","2024-07","2026-08-04 16:03:11","2026-08-04 16:03:56","2026-08-04 16:03:11","104625","","","113","","Journal of Experimental Social Psychology","If not me then we","51","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\moin\Zotero\storage\D48QZ8DG\Allidina and Cunningham - 2024 - If not me then we Goal tradeoffs in decision-making for the self, ingroup, and outgroup.pdf","","Traditional Match","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSIMVYSJ","journalArticle","2010","Cohen, Taya R.; Wildschut, Tim; Insko, Chester A.","How communication increases interpersonal cooperation in mixed-motive situations","Journal of Experimental Social Psychology","","00221031","10.1016/j.jesp.2009.09.009","https://linkinghub.elsevier.com/retrieve/pii/S0022103109002303","Evidence from two experiments indicates that task-related communication promotes cooperation in mixed-motive situations by activating interpersonal norms related to fairness and trust. In Experiment 1, task-related communication increased cooperation between individuals in a three-choice prisoner’s dilemma game (PDG-Alt) but task-unrelated communication did not. In Experiment 2, cooperation was increased both by sending a task-related message to one’s counterpart and receiving a cooperative task-related message from one’s counterpart. Mediation analyses revealed that task-related communication increased cooperation by activating fairness and trust norms (Experiments 1 and 2). Speciﬁcally, whereas sending (relative to receiving) a task-related message increased cooperation by activating fairness norms, receiving (relative to sending) a task-related message increased cooperation by activating trust norms (Experiment 2).","2010-01","2026-08-04 16:03:13","2026-08-04 16:03:52","2026-08-04 16:03:13","39-50","","1","46","","Journal of Experimental Social Psychology","","51","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","C:\Users\moin\Zotero\storage\FN8PWH35\Cohen et al. - 2010 - How communication increases interpersonal cooperation in mixed-motive situations.pdf","","Traditional 2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
